locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PROKKA_104161,63.74196031,6.648173507,0.786232009,8.45574008,2.77E-17,8.94E-15
PROKKA_104162,12.05158624,5.599842174,1.127553803,4.966363611,6.82E-07,3.29E-05
PROKKA_104163,7.2695363,7.565011741,1.393267144,5.429692197,5.65E-08,3.53E-06
PROKKA_104164,9.505270077,6.839594285,1.223094123,5.592042473,2.24E-08,1.53E-06
PROKKA_176236,35.9098848,6.39152227,1.294784073,4.936361517,7.96E-07,3.77E-05
PROKKA_176242,16.89189794,5.876679213,0.944416863,6.22254795,4.89E-10,4.55E-08
PROKKA_176243,12.31053993,5.993698321,1.190642098,5.03400504,4.80E-07,2.40E-05
PROKKA_38377,284.421801,2.213876084,0.523413739,4.22968661,2.34E-05,0.000762421
PROKKA_104230,14.09195004,3.073989439,0.574700124,5.348858143,8.85E-08,5.26E-06
PROKKA_104358,44.701,3.26212244,0.551405314,5.916015601,3.30E-09,2.69E-07
PROKKA_104410,11.27817278,5.104587671,0.879047701,5.80695185,6.36E-09,4.95E-07
PROKKA_104412,9.018751125,5.017161888,0.906879345,5.532336706,3.16E-08,2.08E-06
PROKKA_104413,19.91265621,6.202350574,0.978695253,6.337366568,2.34E-10,2.31E-08
PROKKA_104414,6.559777015,4.970079358,0.950848702,5.226992842,1.72E-07,9.52E-06
PROKKA_104415,17.4548137,4.812676759,0.988587586,4.868235072,1.13E-06,5.14E-05
PROKKA_104529,9.510583046,5.607802739,1.026757427,5.461662696,4.72E-08,3.00E-06
PROKKA_104530,10.99372546,7.258149942,1.223163484,5.933916468,2.96E-09,2.44E-07
PROKKA_104531,4.269049141,5.269744008,1.261945218,4.175889675,2.97E-05,0.000930996
PROKKA_104532,55.59475005,5.866191276,0.679874411,8.628345438,6.22E-18,2.32E-15
PROKKA_104533,21.25990643,5.73707043,0.85825188,6.684599898,2.32E-11,2.75E-09
PROKKA_104534,40.87838066,5.023007426,0.715597894,7.019315551,2.23E-12,3.15E-10
PROKKA_104535,12.96455144,8.405979566,1.414345582,5.943370329,2.79E-09,2.31E-07
PROKKA_176503,6.057187498,4.401995149,0.924158849,4.763245143,1.91E-06,8.25E-05
PROKKA_176573,14.39332489,4.613363601,0.950916317,4.851492735,1.23E-06,5.54E-05
PROKKA_176580,19.10941387,4.460885712,0.858775506,5.194472458,2.05E-07,1.12E-05
PROKKA_104732,54.33963003,5.371456983,0.608517486,8.827120184,1.07E-18,4.58E-16
PROKKA_104741,5.935416127,7.035515642,1.464501084,4.804035804,1.55E-06,6.86E-05
PROKKA_104742,17.08334115,6.128015964,1.077232822,5.688664361,1.28E-08,9.29E-07
PROKKA_38685,40.0079211,-2.551360573,0.606453161,-4.20701999,2.59E-05,0.000829601
PROKKA_38688,46.25216782,-2.430342153,0.45561456,-5.334206509,9.60E-08,5.63E-06
